Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1990","1990","kt","895.658805","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1991","1991","kt","982.244281","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1992","1992","kt","1058.338629","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1993","1993","kt","1503.701892","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1994","1994","kt","2000.607434","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1995","1995","kt","2023.324109","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1996","1996","kt","2633.588268","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1997","1997","kt","3274.796842","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1998","1998","kt","3910.70327","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","1999","1999","kt","4688.089442","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2000","2000","kt","5384.729374","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2001","2001","kt","6126.562911","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2002","2002","kt","7650.620554","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2003","2003","kt","7845.551738","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2004","2004","kt","7764.271512","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2005","2005","kt","8300.962393","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2006","2006","kt","9140.319377","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2007","2007","kt","9175.499465","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2008","2008","kt","3680.221947","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2009","2009","kt","4439.322151","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2010","2010","kt","10214.851725","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2011","2011","kt","9649.588786","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2012","2012","kt","12054.954065","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2013","2013","kt","17428.824377","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2014","2014","kt","19653.594669","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2015","2015","kt","15080.146786","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2016","2016","kt","17820.612606","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2017","2017","kt","19365.185197","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2018","2018","kt","19917.525768","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2019","2019","kt","19320.035971","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2020","2020","kt","19292.592573","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2021","2021","kt","19997.391549","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2022","2022","kt","19997.391549","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2023","2023","kt","19997.391549","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","1990","1990","kt","1859.588753","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","1991","1991","kt","1956.053503","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","1992","1992","kt","1632.203072","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","1993","1993","kt","1591.062791","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","1994","1994","kt","1749.286591","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","1995","1995","kt","2115.856568","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","1996","1996","kt","2184.349635","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","1997","1997","kt","2440.084478","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","1998","1998","kt","2096.699197","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","1999","1999","kt","2085.740822","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2000","2000","kt","2044.408909","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2001","2001","kt","2130.287229","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2002","2002","kt","1996.076159","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2003","2003","kt","2158.159879","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2004","2004","kt","2736.692237","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2005","2005","kt","2669.919716","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2006","2006","kt","2126.964476","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2007","2007","kt","2032.539541","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2008","2008","kt","2263.398077","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2009","2009","kt","2346.103191","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2010","2010","kt","2613.540031","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2011","2011","kt","2496.146723","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2012","2012","kt","2799.73485","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2013","2013","kt","2847.455907","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2014","2014","kt","2831.437029","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2015","2015","kt","2663.329059","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2016","2016","kt","2374.32045","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2017","2017","kt","2483.082106","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2018","2018","kt","3040.286547","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2019","2019","kt","2675.878804","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2020","2020","kt","3470.219744","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2021","2021","kt","3361.880599","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2022","2022","kt","2605.694963","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6997","Pesticides Manufacturing","2023","2023","kt","3418.63643","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","1990","1990","kt","77.763715","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","1991","1991","kt","77.763715","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","1992","1992","kt","17.787692","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","1993","1993","kt","51.577776","E","Estimated value"
